. . 导出了 "ZYHBCS"."MD_PARAMETER"                     252.3 KB    1609 行
. . 导出了 "ZYHBCS"."MD_TABLE"                         399.5 KB    2441 行
. . 导出了 "ZYHBCS"."ORG_CLOSEACC"                     228.4 KB     743 行
. . 导出了 "ZYHBCS"."PAM_INVENTORY_B"                  284.4 KB     423 行
. . 导出了 "ZYHBCS"."PM_WBS"                           286.5 KB     662 行
. . 导出了 "ZYHBCS"."PO_ORDER_PRICE"                   159.7 KB     370 行
. . 导出了 "ZYHBCS"."PO_PRAYBILL"                      220.0 KB     428 行
. . 导出了 "ZYHBCS"."PT_MODULEAPP"                     18.31 KB      38 行
. . 导出了 "ZYHBCS"."PT_PORTALPAGE"                    81.69 KB      29 行
. . 导出了 "ZYHBCS"."PT_PREFERENCE"                    9.906 KB       2 行
. . 导出了 "ZYHBCS"."PUB_ALERTREGISTRY"                45.71 KB     144 行
. . 导出了 "ZYHBCS"."PUB_ALERTSEQUENCE"                313.6 KB    1949 行
. . 导出了 "ZYHBCS"."PUB_BCR_SN"                       197.8 KB    1442 行
. . 导出了 "ZYHBCS"."PUB_BILLACTION"                   238.5 KB    2015 行
. . 导出了 "ZYHBCS"."PUB_BILLTEMPLET"                  313.3 KB    2101 行
. . 导出了 "ZYHBCS"."PUB_EVENTLISTENER"                287.0 KB    1575 行
. . 导出了 "ZYHBCS"."PUB_MSGTEMP"                      221.2 KB     491 行
. . 导出了 "ZYHBCS"."PUB_QUERY_TEMPLET"                176.6 KB    1068 行
. . 导出了 "ZYHBCS"."PUB_REPORT_MODEL"                 248.2 KB    1195 行
. . 导出了 "ZYHBCS"."PUB_WF_ACTINSTANCESRC"            226.6 KB    2531 行
. . 导出了 "ZYHBCS"."PUB_WF_TASKRECEIVER"              389.0 KB    4399 行
. . 导出了 "ZYHBCS"."SCM_TEMPSAVE"                     8.406 KB       1 行
. . 导出了 "ZYHBCS"."SM_DPPROFILE_REG"                 9.945 KB       7 行
. . 导出了 "ZYHBCS"."SM_MENUITEMREG"                   261.4 KB    2160 行
. . 导出了 "ZYHBCS"."SM_MSG_ATTACHMENT_FS_DETAIL"      15.32 KB       2 行
. . 导出了 "ZYHBCS"."SM_PARAMREGISTER"                 317.1 KB    2826 行
. . 导出了 "ZYHBCS"."SM_PERMISSION_RULE"               8.125 KB      10 行
. . 导出了 "ZYHBCS"."SM_SECURITYLOG_201710"            34.17 KB      26 行
. . 导出了 "ZYHBCS"."SM_SECURITYLOG_201805"            87.78 KB     118 行
. . 导出了 "ZYHBCS"."SM_SECURITYLOG_201806"            80.57 KB      29 行
. . 导出了 "ZYHBCS"."SM_USER_ROLE"                     251.5 KB    1644 行
. . 导出了 "ZYHBCS"."SYN_AREACL_BAK"                   52.62 KB      48 行
. . 导出了 "ZYHBCS"."SYN_LOG_H"                        8.429 KB       1 行
. . 导出了 "ZYHBCS"."TB_BUDGETSUBUSE"                  286.5 KB    2502 行
. . 导出了 "ZYHBCS"."TB_DIMINDEX"                      376.9 KB    4133 行
. . 导出了 "ZYHBCS"."TB_FD_SHT0432226"                 14.81 KB       3 行
. . 导出了 "ZYHBCS"."TB_FD_SHT0759465"                 63.42 KB      54 行
. . 导出了 "ZYHBCS"."TB_FD_SHT0759505"                 33.71 KB      53 行
. . 导出了 "ZYHBCS"."TB_FD_SHT0818410"                 14.04 KB       4 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032693"                 90.79 KB      88 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032739"                 43.77 KB      34 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032782"                 14.14 KB      16 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032809"                 19.81 KB      21 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032838"                 19.65 KB      19 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032871"                 72.19 KB      35 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032913"                 75.70 KB      32 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032953"                 26.71 KB      16 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1032986"                 28.73 KB      21 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1033018"                 18.59 KB      22 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1033047"                 22.17 KB      26 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1033077"                 39.17 KB      30 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1033149"                 20.60 KB      29 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1432155"                 110.0 KB      53 行
. . 导出了 "ZYHBCS"."TB_FD_SHT1775789"                 13.21 KB       3 行
. . 导出了 "ZYHBCS"."TB_FD_SHT2594609"                 123.6 KB      54 行
. . 导出了 "ZYHBCS"."TB_FD_SHT2594657"                 28.58 KB      49 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3070718"                 73.10 KB      54 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3327137"                 14.49 KB      10 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3880198"                 18.75 KB      19 行
. . 导出了 "ZYHBCS"."TB_FD_SHT4547740"                 13.25 KB       3 行
. . 导出了 "ZYHBCS"."TB_FD_SHT5613522"                 57.75 KB      47 行
. . 导出了 "ZYHBCS"."TB_FD_SHT6602413"                 54.48 KB      51 行
. . 导出了 "ZYHBCS"."TB_FD_SHT7610502"                 21.66 KB      51 行
. . 导出了 "ZYHBCS"."TB_FD_SHT7610684"                 34.60 KB      54 行
. . 导出了 "ZYHBCS"."TB_FD_SHT8040686"                 11.67 KB       1 行
. . 导出了 "ZYHBCS"."TB_FD_SHT8240126"                 12.08 KB       1 行
. . 导出了 "ZYHBCS"."TB_FD_SHT8357982"                 33.68 KB      53 行
. . 导出了 "ZYHBCS"."TB_FD_SHT8489035"                 25.39 KB      46 行
. . 导出了 "ZYHBCS"."TB_FD_SHT8621213"                 61.08 KB      52 行
. . 导出了 "ZYHBCS"."TB_FD_SHT9246123"                 20.17 KB      11 行
. . 导出了 "ZYHBCS"."TB_LIMITDEF"                      12.50 KB       1 行
. . 导出了 "ZYHBCS"."TB_LIMITMEMBER"                   8.875 KB      16 行
. . 导出了 "ZYHBCS"."TB_MD_SHEET"                      24.10 KB      52 行
. . 导出了 "ZYHBCS"."TB_TASKLOG"                       391.8 KB    2813 行
. . 导出了 "ZYHBCS"."TB_VSDESC"                        10.82 KB       1 行
. . 导出了 "ZYHBCS"."WA_PAYDATADSP"                    268.8 KB    2572 行
. . 导出了 "ZYHBCS"."XX_IDCONTRAST"                    354.0 KB    3849 行
. . 导出了 "ZYHBCS"."AAM_ASSETTYPE"                    18.45 KB      34 行
. . 导出了 "ZYHBCS"."AAM_COUNTRYZONE"                  11.39 KB       2 行
. . 导出了 "ZYHBCS"."AAM_DEVELOPER"                    14.64 KB       2 行
. . 导出了 "ZYHBCS"."AAM_DEVELOPORG"                   15.54 KB       2 行
. . 导出了 "ZYHBCS"."ADP_LISTENERREG"                  7.414 KB       3 行
. . 导出了 "ZYHBCS"."ADP_RESPROP"                      10.63 KB       4 行
. . 导出了 "ZYHBCS"."ADP_RESTYPECATALOG"               11.22 KB      20 行
. . 导出了 "ZYHBCS"."ADP_RESTYPERELATE"                12.48 KB      67 行
. . 导出了 "ZYHBCS"."ADP_RESTYPREGISTER"               56.93 KB      96 行
. . 导出了 "ZYHBCS"."ADP_SCHTRANSTASK"                 19.38 KB      35 行
. . 导出了 "ZYHBCS"."AE_OLAP_CUBE"                     11.05 KB       1 行
. . 导出了 "ZYHBCS"."AE_OLAP_DIM"                      12.65 KB       4 行
. . 导出了 "ZYHBCS"."AE_OLAP_HCY"                      12.76 KB       4 行
